branch_name,head_sha,last_commit_date,scientific_or_engineering_purpose,retained_unique_assets,canonical_successor,open_pr_dependency,classification,deletion_prerequisite,recommended_final_action
chatgpt/multimodal-results-nir-diagnostic-20260826,0e756b275fd9cbbc7d7564531d3200425bf3be23,2026-08-26 18:22:38 +0800,NIR timestamp/feature diagnostic and PR #2,NIR diagnostic docs,results/engineering_reference,PR #2 head, HOLD_UNRESOLVED,PR disposition and timestamp boundary,hold
codex/audit-j-target-lock-gate,f997d75e2009c56d7ca9b2ebd2169fbe2ed393d8,2026-08-25 17:36:45 +0800,lock-gate handoff,branch-specific docs,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,no unique dependency,archive then delete after approval
codex/c1-alignment-audit-20260826,ac9b2c3f20bbefa6f4d00ecb145b5983def5d99f,2026-08-26 02:26:57 +0800,C1 alignment audit,C1 evidence,results/supporting,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/c1-alignment-protocol-repair-20260826,73bcca8051847e111f8bb217368f56d7a2b7f42f,2026-08-26 03:26:43 +0800,C1 validation boundary,C1 stopped-validation evidence,results/supporting,none,MIGRATE_THEN_DELETE,aggregate/provenance migrated,delete only after review
codex/c1a-preflight-sync,76573b0cdddd27c414b39ca71e565bf0377a65d6,2026-08-25 17:50:11 +0800,C1 preflight decision,decision docs,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/c1c-c1d-handoff-20260826,5cd2be69e7764a125242a4e2406e8d9a79d7c0f9,2026-08-26 01:25:52 +0800,C2B handoff,analysis handoff,results/supporting,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/c2b-v2-canonical-20260826,c889dd0d24daf58bf751d0e01780717c72a81abe,2026-08-26 02:15:18 +0800,C2B mmWave ablation,C2B aggregate,results/supporting,none,MIGRATE_THEN_DELETE,aggregate/provenance migrated,delete only after review
codex/c2c-within-subject-normalization-20260826,afcbed32c74439995a20354d694677380ab3f5f2,2026-08-26 04:38:46 +0800,C2C normalization,C2C aggregate,results/supporting,none,MIGRATE_THEN_DELETE,aggregate/provenance migrated,delete only after review
codex/c2c3-audit-handoff,8d33ae11805f12a24d5b9fbbe1792da188833885,2026-08-25 18:50:18 +0800,validity workflow handoff,workflow docs,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
codex/c2c3-handoff,e1aa14474c55ee630bb6eaf58fa139f45fe35190,2026-08-25 18:07:49 +0800,C2/C3 decision handoff,decision docs,docs/archive,none,ARCHIVE_REFERENCE_THEN_DELETE,archive evidence,archive then delete after approval
