"analysis_date","source_task","artifact_group","description","artifact_role","original_name","normalized_name","source_last_write_time","migration_time","source_path","target_path","source_sha256","target_sha256","sync_class","hash_note"
"2026-08-24","2026-08-24/mmwave-alertness-event-analysis","2026-08-24_J_Data警觉度事件审计_v1","J_Data 毫米波警觉度探针事件模型与前置映射/NIR教师信号审计结果","report","J_Data_NIR教师信号第一阶段审计报告.md","2026-08-24_J_Data_NIR教师信号第一阶段审计报告.md","2026-08-24T02:22:14.1409047+08:00","2026-08-29T18:24:21.5112629+08:00","C:\Users\550ACW\Documents\Codex\2026-08-24\mmwave-alertness-event-analysis\outputs\J_Data_NIR教师信号第一阶段审计报告.md","D:\Project\厚粲杯\08_算法\docs\results\2026-08-24_J_Data警觉度事件审计_v1\2026-08-24_J_Data_NIR教师信号第一阶段审计报告.md","7304D41C3F8F7AA16B667FA336CCDE7A177CC15AA605F026AE4EE16E82ACFA32","7304D41C3F8F7AA16B667FA336CCDE7A177CC15AA605F026AE4EE16E82ACFA32","github_candidate_report","source hash equals target hash; target retained after verified migration"
"2026-08-24","2026-08-24/mmwave-alertness-event-analysis","2026-08-24_J_Data警觉度事件审计_v1","J_Data 毫米波警觉度探针事件模型与前置映射/NIR教师信号审计结果","report","J_Data被试身份与重复Session映射审计报告.md","2026-08-24_J_Data被试身份与重复Session映射审计报告.md","2026-08-24T02:48:11.2368957+08:00","2026-08-29T18:24:21.5182674+08:00","C:\Users\550ACW\Documents\Codex\2026-08-24\mmwave-alertness-event-analysis\outputs\J_Data被试身份与重复Session映射审计报告.md","D:\Project\厚粲杯\08_算法\docs\results\2026-08-24_J_Data警觉度事件审计_v1\2026-08-24_J_Data被试身份与重复Session映射审计报告.md","FF77F00A8696750233F56FC352BCC712BD5FA1F023ADC0C3FBCC4FE96A6B37DB","FF77F00A8696750233F56FC352BCC712BD5FA1F023ADC0C3FBCC4FE96A6B37DB","github_candidate_report","source hash equals target hash; target retained after verified migration"
"2026-08-24","2026-08-24/mmwave-alertness-event-analysis","2026-08-24_J_Data警觉度事件审计_v1","J_Data 毫米波警觉度探针事件模型与前置映射/NIR教师信号审计结果","report","J_Data毫米波警觉度探针事件分析核查报告.md","2026-08-24_J_Data毫米波警觉度探针事件分析核查报告.md","2026-08-24T01:40:01.5992971+08:00","2026-08-29T18:24:21.5262673+08:00","C:\Users\550ACW\Documents\Codex\2026-08-24\mmwave-alertness-event-analysis\outputs\J_Data毫米波警觉度探针事件分析核查报告.md","D:\Project\厚粲杯\08_算法\docs\results\2026-08-24_J_Data警觉度事件审计_v1\2026-08-24_J_Data毫米波警觉度探针事件分析核查报告.md","FFFE28821262D529A617867806B529F44E54ECCA648ED0CAB5DF9FADC0724891","FFFE28821262D529A617867806B529F44E54ECCA648ED0CAB5DF9FADC0724891","github_candidate_report","source hash equals target hash; target retained after verified migration"
"2026-08-24","2026-08-24/mmwave-alertness-event-analysis","2026-08-24_J_Data警觉度事件审计_v1","J_Data 毫米波警觉度探针事件模型与前置映射/NIR教师信号审计结果","result_table","J_Data_ALERTNESS_EVENT_GEE.csv","2026-08-24_J_Data_ALERTNESS_EVENT_GEE.csv","2026-08-24T01:40:55.5516480+08:00","2026-08-29T18:24:21.4920289+08:00","C:\Users\550ACW\Documents\Codex\2026-08-24\mmwave-alertness-event-analysis\outputs\J_Data_ALERTNESS_EVENT_GEE.csv","D:\Project\厚粲杯\08_算法\output\40_正式实验\2026-08-24_J_Data警觉度事件审计_v1\2026-08-24_J_Data_ALERTNESS_EVENT_GEE.csv","05C099C7703C083D04B02EA898BE6D7EE9E829D00D60DDDB874984E83C2AEA51","05C099C7703C083D04B02EA898BE6D7EE9E829D00D60DDDB874984E83C2AEA51","local_generated_output_not_auto_committed","source hash equals target hash; target retained after verified migration"
"2026-08-29","2026-08-29/a1-hr-peak-hr-course-hr","2026-08-29_HR峰值与课程代码审查_v1","HR peak 与 HR course 的实际代码调用链和参数差异审查","report","HR_PEAK_COURSE_CODE_DIFF.md","2026-08-29_HR_PEAK_COURSE_CODE_DIFF.md","2026-08-29T16:04:20.7089882+08:00","2026-08-29T18:24:21.5418144+08:00","C:\Users\550ACW\Documents\Codex\2026-08-29\a1-hr-peak-hr-course-hr\outputs\HR_PEAK_COURSE_CODE_DIFF.md","D:\Project\厚粲杯\08_算法\docs\results\2026-08-29_HR峰值与课程代码审查_v1\2026-08-29_HR_PEAK_COURSE_CODE_DIFF.md","16DADE6AACE79B6506BC40A5FA4DE3963BA4B53F72B039C180A276CF8D46BA22","16DADE6AACE79B6506BC40A5FA4DE3963BA4B53F72B039C180A276CF8D46BA22","github_candidate_report","source hash equals target hash; target retained after verified migration"
"2026-08-29","2026-08-29/a1-hr-peak-hr-course-hr","2026-08-29_HR峰值与课程代码审查_v1","HR peak 与 HR course 的实际代码调用链和参数差异审查","result_table","HR_PEAK_COURSE_CODE_DIFF.csv","2026-08-29_HR_PEAK_COURSE_CODE_DIFF.csv","2026-08-29T16:04:20.7099871+08:00","2026-08-29T18:24:21.5358142+08:00","C:\Users\550ACW\Documents\Codex\2026-08-29\a1-hr-peak-hr-course-hr\outputs\HR_PEAK_COURSE_CODE_DIFF.csv","D:\Project\厚粲杯\08_算法\output\00_索引与审计\2026-08-29_HR峰值与课程代码审查_v1\2026-08-29_HR_PEAK_COURSE_CODE_DIFF.csv","759B493DA645813A26E7B60CC419897E43603DE14924FE5B4DC2C82169E241CB","759B493DA645813A26E7B60CC419897E43603DE14924FE5B4DC2C82169E241CB","local_generated_output_not_auto_committed","source hash equals target hash; target retained after verified migration"
"2026-08-29","2026-08-29/b1-formal-71-corrected-target-distance","2026-08-29_FORMAL_37mm距离校正审计_v1","71 个 formal mmWave session 的 0.037 m/bin corrected distance 基础汇总","report","FORMAL_37MM_DISTANCE_BASIC_SUMMARY.md","2026-08-29_FORMAL_37MM_DISTANCE_BASIC_SUMMARY.md","2026-08-29T16:14:00.5045730+08:00","2026-08-29T18:24:21.5588130+08:00","C:\Users\550ACW\Documents\Codex\2026-08-29\b1-formal-71-corrected-target-distance\outputs\FORMAL_37MM_DISTANCE_BASIC_SUMMARY.md","D:\Project\厚粲杯\08_算法\docs\results\2026-08-29_FORMAL_37mm距离校正审计_v1\2026-08-29_FORMAL_37MM_DISTANCE_BASIC_SUMMARY.md","6664DFFF6006A63050C8D3FB191126854636E728C50C756737CBCFC0DC92C318","6664DFFF6006A63050C8D3FB191126854636E728C50C756737CBCFC0DC92C318","github_candidate_report","source hash equals target hash; target retained after verified migration"
"2026-08-29","2026-08-29/b1-formal-71-corrected-target-distance","2026-08-29_FORMAL_37mm距离校正审计_v1","71 个 formal mmWave session 的 0.037 m/bin corrected distance 基础汇总","result_table","FORMAL_37MM_DISTANCE_QUALITY_BASE.csv","2026-08-29_FORMAL_37MM_DISTANCE_QUALITY_BASE.csv","2026-08-29T16:14:00.4995686+08:00","2026-08-29T18:24:21.5708168+08:00","C:\Users\550ACW\Documents\Codex\2026-08-29\b1-formal-71-corrected-target-distance\outputs\FORMAL_37MM_DISTANCE_QUALITY_BASE.csv","D:\Project\厚粲杯\08_算法\output\40_正式实验\2026-08-29_FORMAL_37mm距离校正审计_v1\2026-08-29_FORMAL_37MM_DISTANCE_QUALITY_BASE.csv","42DF4FF9949B0850FBAB127E9655E19FD636BBB47D966321AE81DC59F4AF911A","42DF4FF9949B0850FBAB127E9655E19FD636BBB47D966321AE81DC59F4AF911A","local_generated_output_not_auto_committed","source hash equals target hash; target retained after verified migration"
"2026-08-29","2026-08-29/c1-formal-mmwave-task-dynamics-alertness","2026-08-29_FORMAL毫米波任务动态警觉度_v1","formal mmWave task-dynamics/alertness 报告索引、来源证明和图表","figure","C1_Figure01_TaskDynamics_BR_v1.png","2026-08-29_C1_Figure01_TaskDynamics_BR_v1.png","2026-08-29T16:10:46.3265936+08:00","2026-08-29T18:24:21.6238129+08:00","C:\Users\550ACW\Documents\Codex\2026-08-29\c1-formal-mmwave-task-dynamics-alertness\outputs\2026-08-29_C1_Figure01_TaskDynamics_BR_v1.png","D:\Project\厚粲杯\08_算法\output\40_正式实验\2026-08-29_FORMAL毫米波任务动态警觉度_v1\figures\2026-08-29_C1_Figure01_TaskDynamics_BR_v1.png","A95B72BC2B641E883F6BEDB0F34A125B6EA8A591D65BB9299F2B349DC4340BDC","A95B72BC2B641E883F6BEDB0F34A125B6EA8A591D65BB9299F2B349DC4340BDC","local_generated_output_not_auto_committed","source hash equals target hash; target retained after verified migration"
"2026-08-29","2026-08-29/c1-formal-mmwave-task-dynamics-alertness","2026-08-29_FORMAL毫米波任务动态警觉度_v1","formal mmWave task-dynamics/alertness 报告索引、来源证明和图表","figure","C1_Figure01_TaskDynamics_HR_v1.png","2026-08-29_C1_Figure01_TaskDynamics_HR_v1.png","2026-08-29T16:10:46.1236733+08:00","2026-08-29T18:24:21.6368142+08:00","C:\Users\550ACW\Documents\Codex\2026-08-29\c1-formal-mmwave-task-dynamics-alertness\outputs\2026-08-29_C1_Figure01_TaskDynamics_HR_v1.png","D:\Project\厚粲杯\08_算法\output\40_正式实验\2026-08-29_FORMAL毫米波任务动态警觉度_v1\figures\2026-08-29_C1_Figure01_TaskDynamics_HR_v1.png","AB92A3A50C736607AA11E22E30EB55199780D8F1C5500039ACEFBC90A0DA72A9","AB92A3A50C736607AA11E22E30EB55199780D8F1C5500039ACEFBC90A0DA72A9","local_generated_output_not_auto_committed","source hash equals target hash; target retained after verified migration"
